Comment,Designator,Footprint,LCSC
6N137,U1001,SOP-8_6.62x9.15mm_P2.54mm,C110020
Crystal_GND2,Y201,crystal_arduino,C13738
100nF,C501,C_0603_1608Metric,C14663
ATmega328-A,U202,TQFP-32_7x7mm_P0.8mm,C14877
22nF,C903,C_0402_1005Metric,C1532
ULN2803A,U1101,SOIC-18W_7.5x11.6mm_P1.27mm,C181731
1k,R1001,R_0603_smalltext,C21190
1N4148WS,"D1001,D401",D_SOD-323,C2128
150k,R903,R_0603_1608Metric,C22807
220k,R901,R_0603_1608Metric,C22961
220R,"R1602,R1603,R1604,R1605,R1606,R1607,R1608,R1609,R1610,R1611,R1612,R1613,R1614,R1615,R1616,R1617",R_0402_1005Metric,C25091
10k,R202,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744
10k,"R1002,R1003,R1004,R1005,R1601,R701,R702,R801,R802,R904,R905",R_0603_smalltext,C25804
PCA9685PW,U1601,TSSOP-28_4.4x9.7mm_P0.65mm,C2678753
L,L901,L_Bourns-SRN8040_8x8.15mm,C2929438
SW_Push,"SW601,SW602",tactile_SMD_6mm,C294567
MT2499A,U901,TI_SO-PowerPAD-8,C3007555
100nF,"C1601,C202,C902,C906",C_0402_1005Metric,C307331
12pF,"C201,C203",C_0603_1608Metric,C38523
6k2,"R201,R203",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4260
20k,R902,R_0603_1608Metric,C4328
22uF,"C402,C901,C904,C905",C_0603_1608Metric,C45783
1000uF,C401,CP_Elec_8x10.5,C5162347
Conn_02x03_Odd_Even,"J1001,J701,J801,J901",PinHeader_2x03_P2.54mm_Vertical,C65114
LED,"D201,D202",LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84256
SS53,"D501,D502,D503,D504",D_SMA,C8678
Screw_Terminal_01x03,"J1301,J1401,J1501,J401","PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",C880573
FEMALE,J101,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",C880574
Screw_Terminal_01x10,J501,"TerminalBlock_Phoenix_MPT-0,5-10-2.54_1x10_P2.54mm_Horizontal",
